Item,Price,Link
LOGIC & DRIVING,,
20VAC Signal Transformer,$1,https://www.ebay.com/itm/156355734533
14 Pin IC Sockets x3,$6,https://www.aliexpress.us/item/3256805529241851.html
8 Pin IC Sockets x3,$6,https://www.aliexpress.us/item/3256805529241851.html
SN74HC14 x2,$4,https://www.aliexpress.us/item/3256806000467098.html
LM311 x2,$4,https://www.aliexpress.us/item/2251832814445271.html
SN74HC74 x2,$6,https://www.aliexpress.us/item/3256807843061608.html
SN74HC08 x2,$4,https://www.aliexpress.us/item/3256806000467098.html
UCC27423 x10 (Gate Driver IC),$25,https://www.digikey.com/en/products/detail/texas-instruments/UCC27423P/603260
TO 263 Heatsinks (w/ Pad),$8,https://www.aliexpress.us/item/3256810406260405.html
Thermal Pad,$2,https://www.aliexpress.us/item/3256802090742663.html
UD 1.3 Driver,$35,https://www.ebay.com/itm/126296053530
UD M87 Custom Designed Driver PCB,$80,JLCPCB
200kHz Oscilloscope (SELF-FUNDED),N/A,https://www.amazon.com/FNIRSI-DSO152-Handheld-Oscilloscope-Bandwidth/dp/B0FDPYNQBC/
CURRENT TRANSFORMERS ,,
Dual Current Transformer Custom PCB,$4,JLCPCB
Ferrite 77 Cores x4,$9,https://www.digikey.com/en/products/detail/fair-rite-products-corp/5977001401/8599655
24AWG Solid Core,$8,https://www.amazon.com/DKARDU-Electrical-Stranded-Color%EF%BC%88Black-Assortment/dp/B09PH2ZDLC/r
KF9500 Screw Terminals 2P,$4,https://www.aliexpress.us/item/3256806674476213.html?
GATE DRIVE TRANSFORMER,,
Ferrite 77 (a few),$2,https://www.digikey.com/en/products/detail/fair-rite-products-corp/5977001401/8599655
CAT5 Cable,$10,https://www.amazon.com/Ethernet-Snagless-Computer-Network-Internet/dp/B0BJNZ71K3/
INTERRUPTER,,
Custom Optical Interrupter PCB,$70,JLCPCB
5m Fiber Optic Cable HFBR-RNS005Z,$13,https://www.digikey.com/en/products/detail/broadcom-limited/HFBR-RNS005Z/1990489
9V Batteries,$5,https://www.amazon.com/XUNIUZERO-9V-Batteries-Detector-Long-Lasting/dp/B0F5HLZMH4
9V Battery Connector,$3,https://www.aliexpress.us/item/3256810332396131.html
50K Potentiometers,$2,https://www.aliexpress.us/item/3256806841285775.html
10K Potentiometers,$2,https://www.aliexpress.us/item/3256806841285775.html
5K Potentiometers,$2,https://www.aliexpress.us/item/3256806841285775.html
ON-OFF-ON Toggle Switches x5,$3,https://www.aliexpress.us/item/3256807979121643.html
FULL BRIDGE,,
4.7 Ohm 5W Resistors (Cement),$3,https://www.aliexpress.us/item/3256807607955844.html
4.7 Ohm 5W Resistors (Wirewound) x2,$4,https://www.aliexpress.us/item/3256806563516146.html?
1.5KE220CA x3,$7,https://www.aliexpress.us/item/3256809640787649.html
1N5364B 33V Zener Diodes x3,$6,https://www.aliexpress.us/item/3256806214186575.html
400V 10uF Snubber FIlm Capacitors x2,$8,https://www.aliexpress.us/item/3256808070998741.html
 KBPC3510 FBRs x2,$4,https://www.aliexpress.us/item/3256806258995719.html
5000uF 450V Capacitors x4,$55,https://www.ebay.com/itm/327028788973
25K 100W Wirewound Bleeder Resistors x2,$4,https://www.aliexpress.us/item/3256805970781782.html
SKM300GB Brick Half Bridge IGBTs x2,$60,https://www.ebay.com/itm/267516067582
Copper Busbars x2,$37,https://www.amazon.com/Copper-Thickness-Suitable-Battery-Connection/dp/B0BZCRHCHR
Shorting Clips ,$6,https://www.amazon.com/Insulated-Alligator-Durable-Battery-Electric/dp/B0773JXZT9/
Kapton Tape,$10,https://www.amazon.com/ELEGOO-Polyimide-Temperature-Resistant-Multi-Sized/dp/B072Z92QZ2/
Large Aluminum Heatsink x2,$26,https://www.amazon.com/dp/B07TJY3GKP
MMC (Multi-Mini-Capacitor),,
Custom Bleeder PCB,$9,JLCPCB
"0.1uF 2kV Capacitors x4 (2 per string, 9 in parallel) 0.45uF 4kV",$16,https://www.aliexpress.us/item/3256802900888178.html
"MMC Bleeder Resistor: 1M, 2W x2",$4,https://www.aliexpress.us/item/3256802900888178.html
Primary Coil,,
3/8 Inch 25 Feet Copper Tubing ,$50,https://www.amazon.com/BELLA-BAYS-Refrigeration-Seamless-Refrigerators/dp/B0BCQYFXLF
Secondary Coil,,
"6"" x 2' PVC Pipe",$24,https://www.amazon.com/FT-PVC-DWV-SCH-PIPE/dp/B0FFCNLJLH/
3lbs 30AWG Magnet Wire,$55,https://www.amazon.com/MECCANIXITY-Enameled-Magnetic-Transformer-Fahrenheit/dp/B0FK92B2VT/r
Topload,,
"8"" x 25' Aluminum Flex Tube",$35,https://www.amazon.com/VIVOSUN-Non-Insulated-Aluminum-Ventilation-Stainless/dp/B010UCCR3A/
Strike Ring,,
9AWG Aluminum Wire,$10,https://www.amazon.com/Tenn-Well-Aluminum-Bendable-Sculpting/dp/B095Y8N92C
Frame / Misc.,,
500mm Extrusions x4,N/A,Already Owned
300mm Extrusions x8,N/A,Already Owned
2020 Corner Brackets x24,N/A,Already Owned
500mmx300mmx3mm ABS Sheet,$34,https://www.amazon.com/Plastic-Styrene-Sheets-Building-Crafts/dp/B0GS4NB2Y3
Tin Snips ,N/A,Already Owned
,,
,,
SHIPPING & TAX (KMS),,
JLCPCB Shipping,$105,Sob
Tax,$100,
,,
Total,$992,
