Designator,Mid X,Mid Y,Rotation,Layer
C1,82.37,-109.219999,90.0,top
C10,137.18,-79.0,90.0,top
C11,150.94,-109.81,90.0,top
C12,150.99,-79.1,90.0,top
C13,164.57,-109.72,90.0,top
C14,164.66,-79.05,90.0,top
C15,178.19,-109.72,90.0,top
C16,178.23,-78.98,90.0,top
C17,191.86,-109.65,90.0,top
C18,191.85,-78.92,90.0,top
C2,82.405001,-78.385,90.0,top
C3,96.02,-109.279999,90.0,top
C4,96.02,-78.56,90.0,top
C5,109.77,-109.279999,90.0,top
C6,109.82,-78.51,90.0,top
C7,123.47,-109.38,90.0,top
C8,123.52,-78.72,90.0,top
C9,137.18,-109.749999,90.0,top
H1,63.54,-67.64,0.0,top
H2,63.54,-120.48,0.0,top
H3,205.34,-110.18,90.0,top
H4,205.09,-78.03,90.0,top
J1,70.18,-93.19,270.0,top
R1,89.170001,-110.21,90.0,top
R10,144.06,-78.300001,90.0,top
R11,157.71,-110.380001,90.0,top
R12,157.86,-78.630001,90.0,top
R13,171.34,-110.130001,90.0,top
R14,171.45,-79.56,90.0,top
R15,185.01,-110.270001,90.0,top
R16,185.01,-77.85,90.0,top
R17,198.81,-110.340001,90.0,top
R18,198.67,-78.710001,90.0,top
R2,89.250001,-78.43,90.0,top
R3,102.87,-109.800001,90.0,top
R4,102.92,-78.660001,90.0,top
R5,116.67,-110.110001,90.0,top
R6,116.67,-78.660001,90.0,top
R7,130.3,-110.340001,90.0,top
R8,130.36,-78.400001,90.0,top
R9,144.01,-110.390001,90.0,top
