Designator,Mid X,Mid Y,Rotation,Layer
AV1,89.47,-154.12,0.0,top
C1,100.83,-71.5325,0.0,top
C10,90.79,-131.625,90.0,top
C11,88.16,-118.36,90.0,top
C12,102.995,-113.68,0.0,top
C13,103.025,-111.65,0.0,top
C14,98.64,-97.7,90.0,top
C15,99.165,-89.5875,0.0,top
C16,99.33,-91.7975,0.0,top
C17,93.495,-85.0775,180.0,top
C2,100.805,-73.2925,0.0,top
C3,95.025,-66.5025,180.0,top
C4,111.38,-100.95,180.0,top
C5,117.53,-105.78,0.0,top
C6,117.54,-107.6,0.0,top
C7,89.565,-148.88,180.0,top
C8,96.34,-155.37,90.0,top
C9,82.25,-138.53,90.0,top
D1,83.3825,-91.7,0.0,top
D2,83.3575,-71.64,180.0,top
D3,98.545,-85.2275,0.0,top
H1,119.59,-66.67,0.0,top
H2,109.05,-124.56,0.0,top
J1,114.18,-149.36,0.0,top
Q2,98.61,-124.3925,270.0,top
Q3,89.3925,-122.84,0.0,top
R1,89.155,-71.6925,0.0,top
R10,97.12,-138.62,270.0,top
R11,88.94,-127.7,90.0,top
R12,86.53,-127.655,90.0,top
R13,96.29,-106.88,180.0,top
R14,89.99,-110.97,90.0,top
R15,107.5675,-86.835,0.0,top
R16,107.45,-73.675,0.0,top
R2,105.195,-104.73,0.0,top
R3,98.62,-81.2175,0.0,top
R4,92.365,-94.1675,180.0,top
R6,89.6,-145.9,0.0,top
R7,85.82,-144.74,90.0,top
R8,85.12,-138.63,90.0,top
R9,97.4,-131.71,90.0,top
RV1,73.31,-151.81,0.0,top
RV2,73.57,-91.64,0.0,top
RV3,73.62,-71.6,0.0,top
RV4,73.46,-111.7,0.0,top
RV5,73.44,-131.71,0.0,top
SW1,120.785,-115.23,270.0,top
SW2,120.615,-121.68,270.0,top
SW3,120.675,-128.38,270.0,top
SW4,120.675,-134.53,270.0,top
U1,90.085,-138.58,270.0,top
U2,95.02,-70.9375,270.0,top
U3,111.345,-105.325,270.0,top
U4,93.375,-89.595,270.0,top
U5,96.235,-111.625,270.0,top
U6,119.0,-90.985,90.0,top
U7,119.0,-77.545,90.0,top
