Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C22, C3",1206,4,100uF,
"C10, C11, C12, C15, C20, C4, C5, C8, C9",0603,9,0.1uF,
C13,0603,1,22nF,
C14,0603,1,1uF,
"C16, C17, C18, C21",0603,4,10uF,
"C6, C7",0603,2,1nF,
D1,0805,1,POWER,
"D10, D11, D4, D6, D8, D9",D_SMA,6,SS14,
D12,0805,1,INTERRUPTER,
D13,0805,1,OVERCURRENT DETECTION,
"D14, D15, D16, D2, D7",D_SOD-123,5,1N4148W,
"D17, D18",SMB_L4.3-W3.6-LS5.2-RD,2,SMBJ5337B,C545278
FC1,COMM-TH_HFBR_2521ETZ,1,HFBR-2521Z,C188716
J1,CONN-TH_P10.16_KF135T-10.16-2P,1,20VAC,C475108
J2,CONN-TH_P10.16_KF135T-10.16-2P,1,Feedback CT,C475108
J3,CONN-TH_P10.16_KF135T-10.16-2P,1,OCD CT,C475108
J4,CONN-TH_P10.16_KF135T-10.16-2P,1,GDT,C475108
"Q1, Q2",TO-263-2,2,IRF9540,
"Q4, Q7",TO-263-2,2,IRF540,
"R1, R11, R2, R4, R5, R9",0603,6,1K,
R10,0603,1,10,
R3,1812,1,10,
"R6, R7",0603,2,470,
R8,0603,1,20K,
RV1,RES-ADJ-TH_3296W,1,10K,C60620
U1,HBS_4P-L10.2-W7.2-P5.50-LS10.0-BR,1,HBS1010,C22447883
U2,DIP-14_W7.62mm,1,74HC14,
U3,DIP-8_W7.62mm,1,LM311,
U4,TO-263-2,1,L7824,
U5,TO-263-2,1,L7805,
U6,TO-263-2,1,L7809,
U7,DIP-14_W7.62mm,1,74HC74,
U8,DIP-14_W7.62mm,1,74HC08,
U9,DIP-8_W7.62mm,1,~,
