Designator,Mid X,Mid Y,Rotation,Layer
C1,142.98,-50.76,90.0,top
C10,106.05,-70.9,270.0,top
C11,120.725,-84.35,0.0,top
C12,98.02,-84.1,0.0,top
C13,146.95,-71.13,0.0,top
C14,106.17,-116.7,270.0,top
C15,123.845,-127.445,0.0,top
C16,111.8,-117.69,90.0,top
C17,162.95,-111.4,0.0,top
C18,162.97,-109.315,0.0,top
C2,161.42,-50.82,90.0,top
C20,155.945,-127.545,0.0,top
C21,143.835,-117.93,90.0,top
C22,125.01,-54.0,90.0,top
C3,177.65,-53.08,90.0,top
C4,155.495,-62.3,180.0,top
C5,134.39,-58.86,0.0,top
C6,160.925,-89.48,270.0,top
C7,146.325,-85.33,0.0,top
C8,139.85,-92.56,90.0,top
C9,144.6,-99.11,0.0,top
D1,177.51,-42.42,270.0,top
D10,163.1375,-82.96,0.0,top
D11,169.825,-82.6975,90.0,top
D12,112.78,-71.18,90.0,top
D13,118.7325,-109.37,0.0,top
D14,143.92,-69.4725,270.0,top
D15,116.18,-118.72,0.0,top
D16,148.36,-118.95,0.0,top
D17,160.505,-64.42,90.0,top
D18,168.015,-73.24,270.0,top
D2,154.85,-73.07,270.0,top
D4,167.955,-64.519999,90.0,top
D6,160.275,-73.120001,270.0,top
D7,152.9225,-66.94,0.0,top
D8,169.765,-96.2325,270.0,top
D9,162.995,-95.91,0.0,top
FC1,98.085,-70.88,90.0,top
H1,183.78,-46.59,0.0,top
H2,118.95,-43.55,0.0,top
H3,183.78,-131.09,0.0,top
H4,99.28,-131.09,0.0,top
J1,103.535,-49.64,270.0,top
J2,180.22,-67.13,90.0,top
J3,180.11,-89.48,90.0,top
J4,180.17,-111.95,90.0,top
Q1,115.95,-131.585,270.0,top
Q2,148.225,-131.655,270.0,top
Q4,132.05,-131.585,270.0,top
Q7,163.915,-131.795,270.0,top
R1,180.24,-53.815,90.0,top
R10,162.955,-113.47,0.0,top
R11,148.13,-116.39,0.0,top
R2,151.635,-62.26,0.0,top
R3,164.895,-89.41,270.0,top
R4,143.21,-85.34,0.0,top
R5,137.38,-92.58,90.0,top
R6,109.49,-70.22,180.0,top
R7,123.39,-109.21,180.0,top
R8,141.43,-69.545,270.0,top
R9,115.94,-116.05,0.0,top
RV1,147.14,-106.12,270.0,top
U1,117.23,-53.81,270.0,top
U2,134.6,-70.800001,0.0,top
U3,147.13,-92.51,90.0,top
U4,133.79,-45.915,90.0,top
U5,170.44,-45.885,90.0,top
U6,152.03,-45.885,90.0,top
U7,120.8,-96.68,0.0,top
U8,98.06,-96.16,0.0,top
U9,98.33,-116.365,270.0,top
